Local time,Open,High,Low,Close,Volume
09.04.2004 05:00:00.000 GMT+0800,106.250,106.756,105.931,106.340,525995505859.375
10.04.2004 05:00:00.000 GMT+0800,106.340,106.340,106.340,106.340,0
11.04.2004 05:00:00.000 GMT+0800,106.340,106.340,106.340,106.340,0
12.04.2004 05:00:00.000 GMT+0800,106.334,106.431,105.234,105.334,623389995117.1875
13.04.2004 05:00:00.000 GMT+0800,105.378,107.004,105.025,106.514,627825804687.5
14.04.2004 05:00:00.000 GMT+0800,106.527,108.978,106.527,108.589,638052498046.875
15.04.2004 05:00:00.000 GMT+0800,108.590,109.212,108.211,108.241,640136790039.0625
16.04.2004 05:00:00.000 GMT+0800,108.247,108.864,107.476,107.747,642085394531.25
17.04.2004 05:00:00.000 GMT+0800,107.747,107.747,107.747,107.747,0
18.04.2004 05:00:00.000 GMT+0800,107.747,107.747,107.747,107.747,0
19.04.2004 05:00:00.000 GMT+0800,107.678,108.674,107.583,108.385,624441802734.375
20.04.2004 05:00:00.000 GMT+0800,108.373,108.858,107.656,108.722,634008101562.5
21.04.2004 05:00:00.000 GMT+0800,108.755,109.741,108.537,109.341,634393706054.6875
22.04.2004 05:00:00.000 GMT+0800,109.338,109.877,109.115,109.351,633655401367.1875
23.04.2004 05:00:00.000 GMT+0800,109.347,109.815,108.584,108.922,630146292968.75
24.04.2004 05:00:00.000 GMT+0800,108.922,108.922,108.922,108.922,0
25.04.2004 05:00:00.000 GMT+0800,108.922,108.922,108.922,108.922,0
26.04.2004 05:00:00.000 GMT+0800,108.928,109.316,108.272,108.571,629441890625
27.04.2004 05:00:00.000 GMT+0800,108.552,109.806,108.356,109.382,632816095703.125
28.04.2004 05:00:00.000 GMT+0800,109.403,110.221,108.760,110.086,633532805664.0625
29.04.2004 05:00:00.000 GMT+0800,110.069,111.016,109.522,109.849,637597396484.375
30.04.2004 05:00:00.000 GMT+0800,109.860,110.621,109.760,110.465,642258594726.5625
01.05.2004 05:00:00.000 GMT+0800,110.465,110.508,110.465,110.508,0
02.05.2004 05:00:00.000 GMT+0800,110.508,110.508,110.508,110.508,0
03.05.2004 05:00:00.000 GMT+0800,110.397,110.700,109.785,110.315,630718602539.0625
04.05.2004 05:00:00.000 GMT+0800,110.322,110.596,109.231,109.305,637494498046.875
05.05.2004 05:00:00.000 GMT+0800,109.352,109.571,108.305,108.652,633780093750
06.05.2004 05:00:00.000 GMT+0800,108.660,109.875,108.573,109.732,637014507812.5
07.05.2004 05:00:00.000 GMT+0800,109.725,112.480,109.690,112.191,630938495117.1875
08.05.2004 05:00:00.000 GMT+0800,112.191,112.191,112.191,112.191,0
09.05.2004 05:00:00.000 GMT+0800,112.191,112.191,112.191,112.191,0
10.05.2004 05:00:00.000 GMT+0800,112.258,114.126,112.105,113.617,645300302734.375
11.05.2004 05:00:00.000 GMT+0800,113.644,113.962,113.084,113.132,636946797851.5625
12.05.2004 05:00:00.000 GMT+0800,113.113,113.465,112.410,112.955,642683596679.6875
13.05.2004 05:00:00.000 GMT+0800,112.947,114.620,112.813,114.469,630077011718.75
14.05.2004 05:00:00.000 GMT+0800,114.496,114.872,113.958,114.211,634959902343.75
15.05.2004 05:00:00.000 GMT+0800,114.211,114.211,114.211,114.211,0
16.05.2004 05:00:00.000 GMT+0800,114.211,114.211,114.211,114.211,0
17.05.2004 05:00:00.000 GMT+0800,114.165,114.638,113.049,114.310,637654596679.6875
18.05.2004 05:00:00.000 GMT+0800,114.310,114.696,113.374,114.274,631513294921.875
19.05.2004 05:00:00.000 GMT+0800,114.282,114.323,112.415,113.083,639420310546.875
20.05.2004 05:00:00.000 GMT+0800,113.080,113.862,112.703,112.744,631876703125
21.05.2004 05:00:00.000 GMT+0800,112.718,113.042,111.742,112.285,636496899414.0625
22.05.2004 05:00:00.000 GMT+0800,112.285,112.285,112.285,112.285,0
23.05.2004 05:00:00.000 GMT+0800,112.285,112.285,112.285,112.285,0
24.05.2004 05:00:00.000 GMT+0800,112.285,112.940,112.012,112.890,638098810546.875
25.05.2004 05:00:00.000 GMT+0800,112.940,113.313,111.621,111.697,632085698242.1875
26.05.2004 05:00:00.000 GMT+0800,111.664,111.974,111.214,111.887,631810002929.6875
27.05.2004 05:00:00.000 GMT+0800,111.908,112.113,110.671,110.812,637821711914.0625
28.05.2004 05:00:00.000 GMT+0800,110.815,111.079,110.010,110.180,636351804687.5
29.05.2004 05:00:00.000 GMT+0800,110.180,110.180,110.180,110.180,0
30.05.2004 05:00:00.000 GMT+0800,110.180,110.180,110.180,110.180,0
31.05.2004 05:00:00.000 GMT+0800,110.165,110.211,109.042,109.477,461154002929.6875
01.06.2004 05:00:00.000 GMT+0800,109.525,110.732,109.198,110.606,633973496093.75
02.06.2004 05:00:00.000 GMT+0800,110.618,110.913,109.820,109.867,635160791015.625
03.06.2004 05:00:00.000 GMT+0800,109.860,111.528,109.781,110.743,635663507812.5
04.06.2004 05:00:00.000 GMT+0800,110.780,111.929,110.296,111.128,641738606445.3125
05.06.2004 05:00:00.000 GMT+0800,111.128,111.128,111.128,111.128,0
06.06.2004 05:00:00.000 GMT+0800,111.128,111.128,111.128,111.128,0
07.06.2004 05:00:00.000 GMT+0800,110.855,111.010,109.452,109.507,639403108398.4375
08.06.2004 05:00:00.000 GMT+0800,109.486,110.105,109.459,109.627,636091510742.1875
09.06.2004 05:00:00.000 GMT+0800,109.590,110.584,108.650,110.398,641277601562.5
