Local time,Open,High,Low,Close,Volume
24.04.2004 05:00:00.000 GMT+0800,1.18415,1.18415,1.18415,1.18415,0
25.04.2004 05:00:00.000 GMT+0800,1.18415,1.18415,1.18415,1.18415,0
26.04.2004 05:00:00.000 GMT+0800,1.18177,1.18840,1.17573,1.18644,1359770707031.25
27.04.2004 05:00:00.000 GMT+0800,1.18606,1.19456,1.18302,1.19223,1351854093750
28.04.2004 05:00:00.000 GMT+0800,1.19193,1.19496,1.18206,1.18393,1356730625000
29.04.2004 05:00:00.000 GMT+0800,1.18322,1.19841,1.18027,1.19598,1373783816406.25
30.04.2004 05:00:00.000 GMT+0800,1.19557,1.20089,1.19185,1.19770,1357539005859.375
01.05.2004 05:00:00.000 GMT+0800,1.19770,1.19827,1.19770,1.19827,0
02.05.2004 05:00:00.000 GMT+0800,1.19827,1.19827,1.19827,1.19827,0
03.05.2004 05:00:00.000 GMT+0800,1.19770,1.20000,1.19189,1.19404,1359898615234.375
04.05.2004 05:00:00.000 GMT+0800,1.19428,1.21173,1.19227,1.20962,1346133009765.625
05.05.2004 05:00:00.000 GMT+0800,1.20920,1.21786,1.20915,1.21710,1360703396484.375
06.05.2004 05:00:00.000 GMT+0800,1.21713,1.21749,1.20625,1.20795,1369606908203.125
07.05.2004 05:00:00.000 GMT+0800,1.20800,1.21313,1.18740,1.18782,1360201777343.75
08.05.2004 05:00:00.000 GMT+0800,1.18782,1.18782,1.18782,1.18782,0
09.05.2004 05:00:00.000 GMT+0800,1.18782,1.18782,1.18782,1.18782,0
10.05.2004 05:00:00.000 GMT+0800,1.18648,1.18936,1.18103,1.18448,1364241195312.5
11.05.2004 05:00:00.000 GMT+0800,1.18477,1.18885,1.17869,1.18678,1352422208984.375
12.05.2004 05:00:00.000 GMT+0800,1.18661,1.19402,1.18322,1.18962,1374159812500
13.05.2004 05:00:00.000 GMT+0800,1.18930,1.19294,1.17708,1.18197,1373186406250
14.05.2004 05:00:00.000 GMT+0800,1.18133,1.19007,1.17806,1.18825,1369928791015.625
15.05.2004 05:00:00.000 GMT+0800,1.18825,1.18825,1.18825,1.18825,0
16.05.2004 05:00:00.000 GMT+0800,1.18825,1.18825,1.18825,1.18825,0
17.05.2004 05:00:00.000 GMT+0800,1.18832,1.20580,1.18758,1.20241,1358173408203.125
18.05.2004 05:00:00.000 GMT+0800,1.20218,1.20378,1.19272,1.19493,1366832400390.625
19.05.2004 05:00:00.000 GMT+0800,1.19460,1.20409,1.19346,1.20071,1367739400390.625
20.05.2004 05:00:00.000 GMT+0800,1.20052,1.20188,1.18942,1.19622,1369802212890.625
21.05.2004 05:00:00.000 GMT+0800,1.19577,1.20679,1.19510,1.19801,1366406396484.375
22.05.2004 05:00:00.000 GMT+0800,1.19801,1.19801,1.19801,1.19801,0
23.05.2004 05:00:00.000 GMT+0800,1.19801,1.19801,1.19801,1.19801,0
24.05.2004 05:00:00.000 GMT+0800,1.19817,1.20231,1.19324,1.20020,1364336800781.25
25.05.2004 05:00:00.000 GMT+0800,1.19978,1.21263,1.19818,1.21045,1371858001953.125
26.05.2004 05:00:00.000 GMT+0800,1.21050,1.21422,1.20814,1.20990,1348788513671.875
27.05.2004 05:00:00.000 GMT+0800,1.21010,1.22884,1.20867,1.22602,1363603992187.5
